"met","share_Z1","share_Z2","share_Zs","share_C","share_noise"
"met_33",0.0652222646635536,0.643195742947737,0.13975088467578,0.15183014555589,9.62157039695261e-07
"met_34",0.0324391647883899,0.843436723143973,0.0877356574811247,0.0363874663703909,9.88216121162274e-07
"met_35",0.117177228105869,0.151003716088236,0.133620578435162,0.0842140673755039,0.513984409995229
"met_36",0.0512220251098269,0.815329827154959,0.0177476352917503,0.115699575757605,9.36685858125196e-07
"met_37",0.0867138692932294,0.814285688877082,0.0602381094810919,0.0387613396222453,9.927263512439e-07
"met_38",0.0534355625946288,0.649917042609838,0.0879587098442519,0.208687762945881,9.22005400318481e-07
"met_39",0.0779782057852355,0.80214366330051,0.0652433734689196,0.054633770604018,9.86841316454442e-07
"met_40",0.0907333776354723,0.477451452644936,0.242511637564585,0.0403218021899635,0.148981729965043
"met_41",0.0144318405652892,0.789151424385008,0.0447572862430469,0.151658527306098,9.21500557642551e-07
"met_42",0.198924145687056,0.385335954635981,0.118843049707141,0.0399811939738592,0.256915655995963
"met_43",0.0873169522283977,0.339938707637725,0.143197888844707,0.0899968327480965,0.339549618541074
"met_44",0.105211710673493,0.147941484785392,0.110566724980552,0.151534197797405,0.484745881763158
"met_45",0.046345396165519,0.319953177108226,0.123538978375716,0.0254442020443024,0.484718246306236
"met_46",0.20567087475031,0,0.0537451351634053,0.181355435890536,0.559228554195748
"met_47",0.0765217106493853,0.237430507862515,0.0436304985703082,0.0265312566844853,0.615886026233306
"met_48",0.0594603344553272,0.109107728924932,0.0314009878388877,0.0999051501798561,0.700125798600997
"met_49",0.0580864500945803,0.848014898441394,0.0204394311704842,0.0734582524640287,9.67829512609004e-07
"met_50",0.061047634025978,0.739980731434098,0.107143969226579,0.0806473670203457,0.0111802982929987
"met_51",0.121284546835131,0.517627700167366,0.0281666572381713,0.0730407055174869,0.259880390241845
"met_52",0.15604634003175,0.377323406905978,0.120074280446681,0.02983203889307,0.316723933722521
"met_53",0.134904661590025,0.569704089694226,0.0823892897798382,0.143359039281769,0.069642919654141
"met_54",0.164188146122595,0.205557226313746,0.0583693216167058,0.125661256326312,0.446224049620641
"met_55",0.0379054142292744,0.494948340982852,0.115626496305438,0.0730355331064781,0.278484215375958
"met_56",0.120620519133688,0.773539102060034,0.0191779507384257,0.0866614467104249,9.81357427943817e-07
"met_57",0.0669679147958015,0.70298530894128,0.106931088224451,0.123114700433495,9.87604972925276e-07
"met_58",0.0442929373934975,0.74216388241737,0.132369191366642,0.0811730035109319,9.85311559238901e-07
"met_59",0.01546938832447,0.75966151959579,0.0415253353050312,0.183342802217808,9.54556899959138e-07
"met_60",0.0318988506660639,0.763413175863931,0.0782696875082961,0.126417327199791,9.58761918174708e-07
"met_61",0.125512341057449,0.128240618805095,0.32829332809655,0.0217979741348397,0.396155737906066
"met_62",0.167953344046919,0.0249604367029114,0.380784119588177,0.103186640641326,0.323115459020666
"met_63",0.151597436677443,0.237322525629644,0.445044122217258,0.166034935482478,9.79993177770724e-07
"met_64",0.077503745120192,0.265385160881732,0.229263061766163,0.0415240499682219,0.386323982263691
"met_65",0.180812191435946,0.0173127901419331,0.326231025722605,0.284060112200012,0.191583880499504
"met_66",0.0794575891932339,0.133816180774812,0.645419852650175,0.0728312453939288,0.0684751319878496
"met_67",0.0304545355359385,0,0.894863943244874,0.0746805487261057,9.72493082493605e-07
"met_68",0.213027847047621,0.0294750417166384,0.645674508639158,0.111821659746503,9.42850079257752e-07
"met_69",0.133337864650951,0.427328045762299,0.254884520441869,0.0773436803145892,0.107105888830292
"met_70",0.394886928992538,0.295446107031421,0.254446132403907,0.0552198429128712,9.88659262849964e-07
"met_71",0.252056553969101,0.062806831222867,0.414987465574665,0.144513716815495,0.125635432417872
"met_72",0.089584374425075,0.135864961693555,0.658236806851187,0.116312886871987,9.70158196216604e-07
"met_73",0.109661048834482,0.252471914213949,0.588188872617467,0.049677175109512,9.8922458976991e-07
"met_74",0.155290711159588,0.0970590989064077,0.683392972243333,0.0642562177649441,9.99925727761264e-07
"met_75",0.126466142947844,0.317083639846159,0.542778620228787,0.0136705988778982,9.98099311238208e-07
"met_76",0.180981567966217,0.26664243211049,0.302766266444892,0.0853986345113112,0.16421109896709
"met_77",0.286630530978763,0.292590957327002,0.337657446630564,0.0831200756822386,9.89381433012875e-07
"met_78",0.173430576310524,0.194926356391937,0.523415931911968,0.108226140428217,9.94957353749347e-07
"met_79",0.371949570171472,0.0401819889459984,0.549520029532054,0.0383474171558543,9.94194621325228e-07
"met_80",0.159413001207519,0.375886402833569,0.439002015100026,0.0256975887906277,9.92068257724766e-07
"met_81",0.135365390148001,0.157819145358939,0.204012550378389,0.0467173809437418,0.456085533170929
"met_82",0.0873875893061215,0.236919560798065,0.561462574012824,0.11422930347025,9.72412739474382e-07
"met_83",0.0994721992740984,0.00592811364805815,0.624604567199412,0.269994201287421,9.18591010911204e-07
"met_84",0.157035334848784,0.0774149187095326,0.689897794078973,0.0756509795703011,9.72792408872791e-07
"met_85",0.177407528212751,0.226072248264678,0.391480802956964,0.0661466143329217,0.138892806232685
"met_86",0.216761024647648,0.0390663091610631,0.138709030670264,0.0622110336834689,0.543252601837556
"met_87",0.108792403597124,0.0327127685275411,0.731836381631466,0.126657489929426,9.5631444181658e-07
"met_88",0.179156073155213,0.0166255250928042,0.744901945248727,0.0499254597132057,0.00939099679004951
"met_89",0.201759662182157,0.0472097157548351,0.197419863467356,0.199563870655452,0.3540468879402
"met_90",0.142575539904322,0.489482648509959,0.296196957385644,0.0717438830847916,9.71115282812435e-07
"met_91",0,0,0,0.180702645616967,0.819297354383033
"met_92",0,0,0,0.111623144574476,0.888376855425524
"met_93",0,0,0,0.0986437499051142,0.901356250094886
"met_94",0,0,0,0.0544246665852804,0.94557533341472
"met_95",0,0,0,0.0665467940785683,0.933453205921432
"met_96",0,0,0,0.0605851645482065,0.939414835451793
"met_97",0,0,0,0.0937794914780265,0.906220508521973
"met_98",0,0,0,0.0610709454222306,0.938929054577769
"met_99",0,0,0,0.172906547453303,0.827093452546697
"met_100",0,0,0,0.0150145537912481,0.984985446208752
