"met","share_Z1","share_Z2","share_Zs","share_noise"
"met_49",0.0534211688550396,0.894016613981399,0.0525612171635616,9.99999999917733e-07
"met_50",0.0142308581630161,0.22106245100868,0.115280097787849,0.649426593040455
"met_51",0.112320390217072,0.767507108044691,0.120171501738237,1.0000000002508e-06
"met_52",0.0557393310082994,0,0.127710833086764,0.816549835904937
"met_53",0.0621762963148138,0.438002737747821,0.153279123097454,0.346541842839911
"met_54",0.0827359828591485,0.70049091133178,0.0617853716521407,0.154987734156931
"met_55",0.209965571772786,0.438928689075922,0.0590462254727125,0.29205951367858
"met_56",0.0773977805949619,0.404892377520788,0.17315258731302,0.34455725457123
"met_57",0.0207918411681019,0.964853302442841,0.0143538563890575,9.99999999806711e-07
"met_58",0.0752523980081587,0.726412389332076,0.0789256351492908,0.119409577510475
"met_59",0.0738226954120537,0.735197151708962,0.0842436936315478,0.106736459247436
"met_60",0.190000844940853,0.0106921648752476,0.151086844317864,0.648220145866035
"met_61",0.14333425259751,0.046128988924831,0.607430901467678,0.20310585700998
"met_62",0.0870598010671985,0.463353365899288,0.449585833033514,1.00000000013978e-06
"met_63",0.123791299430612,0.0942706668812268,0.781937033688161,1.00000000013978e-06
"met_64",0.302482566138819,0,0.675768403384915,0.021749030476266
"met_65",0.145380911612969,0.38754574779833,0.4670723405887,1.00000000013978e-06
"met_66",0.300674252058459,0.186322334441496,0.326070835576692,0.186932577923352
"met_67",0.122253355670368,0.509954467065761,0.367791177263871,9.99999999917733e-07
"met_68",0.210942752276252,0.0223993423448175,0.757547778222713,0.00911012715621762
"met_69",0.240875117064411,0.0659113857263717,0.688925571575826,0.00428792563339098
"met_70",0.236618840868068,0.372383637705951,0.347028996662303,0.0439685247636777
"met_71",0.124579970042893,0.171659661696477,0.70375936826063,1.0000000002508e-06
"met_72",0.271375943851887,0.0156221813700661,0.170585153369961,0.542416721408086
"met_73",0.184589852636283,0.0243039978575638,0.329436532988273,0.461669616517881
"met_74",0.169573199463097,0.261376249678764,0.519744341329626,0.0493062095285122
"met_75",0.20077973229716,0.0390925961677001,0.0557030280555497,0.70442464347959
"met_76",0.249262493842281,0,0.750736506157719,1.00000000013978e-06
"met_77",0.124289229047056,0.148000437394183,0.727709333558761,1.0000000002508e-06
"met_78",0.288179900535598,0.0295183036993794,0.472497892003911,0.209803903761112
"met_79",0.134158412853586,0.292436330708753,0.379782718492867,0.193622537944793
"met_80",0.249189843289503,0.0790019069595192,0.441181330917349,0.230626918833629
"met_81",0.185718691157958,0.0302686240135099,0.549696136110926,0.234316548717606
"met_82",0.149345307568944,0.0228458396989897,0.827807852732066,1.0000000002508e-06
"met_83",0.162130090759406,0.0193140608399105,0.607124325448645,0.211431522952038
"met_84",0.0798387409896163,0.47471085903865,0.445449399971734,1.00000000013978e-06
"met_85",0.155207438096494,0.0128610723118748,0.831930489591631,1.0000000002508e-06
"met_86",0.15696052779185,0.0550133992292439,0.294737683635056,0.49328838934385
"met_87",0.148741355334185,0.196851415161803,0.654406229504012,9.99999999917733e-07
"met_88",0.137133783749275,0.40213497447742,0.202373035500718,0.258358206272588
"met_89",0.153484584766608,0.0399138176015177,0.510946329978578,0.295655267653296
"met_90",0.222310424079408,0.0452969823569261,0.51690168962561,0.215490903938056
"met_91",0,0,0,1
"met_92",0,0,0,1
"met_93",0,0,0,1
"met_94",0,0,0,1
"met_95",0,0,0,1
"met_96",0,0,0,1
"met_97",0,0,0,1
"met_98",0,0,0,1
"met_99",0,0,0,1
"met_100",0,0,0,1
